제목,저자,역자,출간일,페이지,정가,할인가격,마일리지
어린이를 위한 초등 자기주도 공부법×배움공책,"이은경 , 이성종 ",역자 없음, 2021-03-20, 188 쪽," 14,800원"," 13,320원", 740점 
기술의 시대,"브래드 스미스 , 캐럴 앤 브라운 ", 이지연 , 2021-03-15, 544 쪽," 25,000원"," 22,500원"," 1,250점 "
맛있는 디자인 프리미어 프로 CC 2021,"정지원 , 심수진 , 윤성우 , 김덕영 ",역자 없음, 2021-03-12, 484 쪽," 24,000원"," 21,600원"," 1,200점 "
GAN 첫걸음,타리크 라시드 , 고락윤 , 2021-03-10, 280 쪽," 25,000원"," 22,500원"," 1,250점 "
디노 첫걸음,페르난도 돌리오 , 우정은 , 2021-03-10, 160 쪽," 17,000원"," 15,300원", 850점 
맛있는 디자인 일러스트레이터 CC 2021,빨간고래(박정아) ,역자 없음, 2021-03-09, 504 쪽," 24,000원"," 21,600원"," 1,200점 "
4차 산업혁명 시대를 위한 e-비즈니스 개론(4판),이동훈 ,역자 없음, 2021-03-07, 512 쪽," 27,000원"," 27,000원", 810점 
사실은 사랑받고 싶었어,"박재연 , 박성혜(그림) ",역자 없음, 2021-03-05, 244 쪽," 14,800원"," 13,320원", 740점 
한글처럼 쉬운 중국어,"김원재 , 강은주 ",역자 없음, 2021-03-05, 156 쪽," 18,000원"," 18,000원", 540점 
회계원리,"이기호 , 이정엽 , 전홍준 ",역자 없음, 2021-03-05, 332 쪽," 23,000원"," 23,000원", 690점 
대한민국 부동산 미래지도,김학렬(빠숑) ,역자 없음, 2021-03-04, 704 쪽," 33,500원"," 30,150원"," 1,675점 "
맛있는 디자인 애프터 이펙트 CC 2021,이수정 ,역자 없음, 2021-03-03, 500 쪽," 24,000원"," 21,600원"," 1,200점 "
맛있는 디자인 포토샵 CC 2021,"윤이사라(포완카) , 김신애 ",역자 없음, 2021-03-03, 448 쪽," 21,000원"," 18,900원"," 1,050점 "
상위 1% 아이가 하고 있는 서울대 아빠식 문해력 독서법,"이재익 , 김훈종 ",역자 없음, 2021-03-02, 388 쪽," 16,800원"," 15,120원", 840점 
이것이 안드로이드다 with 코틀린(개정판),고돈호 ,역자 없음, 2021-03-02, 768 쪽," 34,000원"," 30,600원"," 1,700점 "
친절한 딥러닝 수학,다테이시 겐고 , 김형민 , 2021-03-02, 356 쪽," 28,000원"," 25,200원"," 1,400점 "
누구 먼저 살려야 할까,제이콥 M. 애펠 , 김정아 , 2021-02-28, 396 쪽," 17,800원"," 16,020원", 890점 
모션 그래픽&영상 디자인 강의 with 애프터 이펙트(10년차 디자이너에게 1:1로 배우는),장유민 ,역자 없음, 2021-02-25, 344 쪽," 26,000원"," 23,400원"," 1,300점 "
알기쉬운 회계원리의 기초(3판),"김혁 , 윤승준 , 이원강 ",역자 없음, 2021-02-25, 404 쪽," 26,000원"," 26,000원", 780점 
최신 원가회계,"정재권 , 서한결 , 곽종민 ",역자 없음, 2021-02-25, 444 쪽," 28,000원"," 28,000원", 840점 
"IT CookBook, C 언어 일취월장(2판)",신윤환 ,역자 없음, 2021-02-24, 800 쪽," 28,000원"," 28,000원", 840점 
소비자행동,김학윤 ,역자 없음, 2021-02-23, 660 쪽," 35,000원"," 35,000원"," 1,050점 "
재미있고 빠른 어휘력 동화 – 두근두근 이 마음은 뭘까,"김세실 , 김도윤(그림) ",역자 없음, 2021-02-20, 104 쪽," 12,000원"," 10,800원", 600점 
재미있고 빠른 어휘력 동화 – 키득키득 재밌는 의성어 의태어,"김예실 , 김희선(그림) ",역자 없음, 2021-02-20, 104 쪽," 12,000원"," 10,800원", 600점 
웹 애플리케이션 보안,앤드루 호프먼 , 최용 , 2021-02-19, 372 쪽," 30,000원"," 27,000원"," 1,500점 "
