제목,저자,역자,출간일,페이지,정가,할인가격,마일리지
1000개 숨은그림찾기 몬스터 : 찾아도 찾아도 끝판왕,김확실 ,역자 없음, 2021-11-02, 96 쪽," 8,000원"," 7,200원", 400점 
1000개 숨은그림찾기 보물찾기 : 찾아도 찾아도 끝판왕,전진희 ,역자 없음, 2021-11-02, 96 쪽," 8,000원"," 7,200원", 400점 
1000개 숨은그림찾기 탈것 : 찾아도 찾아도 끝판왕,이한이 ,역자 없음, 2021-11-02, 96 쪽," 8,000원"," 7,200원", 400점 
UX/UI 디자이너를 위한 실무 피그마,클레어 정 ,역자 없음, 2021-11-01, 352 쪽," 24,000원"," 21,600원"," 1,200점 "
머신러닝 디자인 패턴,"발리아파 락슈마난 , 세라 로빈슨 , 마이클 먼 "," 맹윤호 , 임지순 ", 2021-11-01, 460 쪽," 38,000원"," 34,200원"," 1,900점 "
소프트웨어 아키텍처 101,"마크 리처즈 , 닐 포드 ", 이일웅 , 2021-11-01, 472 쪽," 32,000원"," 28,800원"," 1,600점 "
혼자 공부하는 SQL,우재남 ,역자 없음, 2021-11-01, 444 쪽," 24,000원"," 21,600원"," 1,200점 "
"IT CookBook, 그림으로 배우고 실생활 예제로 실습하는 자바를 부탁해",박세홍(홍팍) ,역자 없음, 2021-10-29, 556 쪽," 26,000원"," 26,000원", 780점 
온톨로지 과학자를 위한 지식그래프,"딘 알레망 , 제임스 핸들러 , 파비엔 갠던 ", 김학래 , 2021-10-29, 544 쪽," 45,000원"," 45,000원"," 1,350점 "
똑똑한 두뇌 연습 : 놀이공원 미로찾기,권나영 ,역자 없음, 2021-10-28, 76 쪽," 7,500원"," 6,750원", 375점 
한 권으로 다지는 머신러닝&딥러닝 with 파이썬,"알베르토 아르타산체스 , 프라틱 조시 ", 여인춘 , 2021-10-21, 680 쪽," 40,000원"," 36,000원"," 2,000점 "
"IT CookBook, 시스템 프로그래밍: 리눅스&유닉스",이종원 ,역자 없음, 2021-10-15, 552 쪽," 28,000원"," 28,000원", 840점 
살아 움직이는 머신러닝 파이프라인 설계,"하네스 하프케 , 캐서린 넬슨 ", 송호연 , 2021-10-11, 416 쪽," 32,000원"," 28,800원"," 1,600점 "
그로킹 심층 강화학습,미겔 모랄레스 , 강찬석 , 2021-10-10, 500 쪽," 35,000원"," 31,500원"," 1,750점 "
시험장에 몰래 가져갈  이경오의 SQL+SQLD 비밀노트,이경오 ,역자 없음, 2021-10-10, 556 쪽," 32,000원"," 28,800원"," 1,600점 "
1000개 숨은그림찾기 바다 동물,이한이 ,역자 없음, 2021-10-08, 96 쪽," 8,000원"," 7,200원", 400점 
1000개 숨은그림찾기 아이스크림,김확실 ,역자 없음, 2021-10-08, 96 쪽," 8,000원"," 7,200원", 400점 
심리 읽어드립니다,"김경일 , 사피엔스 스튜디오 ",역자 없음, 2021-10-08, 332 쪽," 17,500원"," 15,750원", 875점 
한번에 적용하는 분석,히든그레이스 데이터분석팀 ,역자 없음, 2021-10-08, 356 쪽," 24,000원"," 24,000원", 720점 
탐험! 숲체험 생물 도감,이치니치 잇슈 , 박현숙 , 2021-10-06, 132 쪽," 13,000원"," 11,700원", 650점 
깍두기 가계부 2022,쓰담여사 ,역자 없음, 2021-10-01, 192 쪽," 14,800원"," 13,320원", 740점 
미국 주식으로 시작하는 슬기로운 퀀트투자,"김용환 , Yubin Kim ",역자 없음, 2021-09-30, 416 쪽," 32,000원"," 28,800원"," 1,600점 "
제대로 배우는 수학적 최적화,우메타니 슌지 , 김모세 , 2021-09-30, 424 쪽," 38,000원"," 34,200원"," 1,900점 "
"1년에 5,000만 원 버는 수익 확장 노하우 네이버 블로그로 돈 벌기",김동석 ,역자 없음, 2021-09-28, 312 쪽," 16,000원"," 14,400원", 800점 
디자인 1등 유튜버 존코바의 클릭을 유도하는 유튜브 디자인 with 포토샵,존코바(이요한) ,역자 없음, 2021-09-27, 348 쪽," 19,800원"," 17,820원", 990점 
핸즈온 해킹,"매슈 히키 , 제니퍼 아커리 ", 류광 , 2021-09-27, 776 쪽," 45,000원"," 40,500원"," 2,250점 "
정리 잘하는 사람은 이렇게 합니다,고메다 마리나 , 박연정 , 2021-09-17, 208 쪽," 15,000원"," 13,500원", 750점 
두 발로 선 경제,이용우 ,역자 없음, 2021-09-10, 468 쪽," 23,000원"," 20,700원"," 1,150점 "
인공지능 논리 입문,이은정 ,역자 없음, 2021-09-10, 260 쪽," 22,000원"," 22,000원", 660점 
머신러닝 파워드 애플리케이션,에마뉘엘 아메장 , 박해선 , 2021-09-06, 304 쪽," 27,000원"," 24,300원"," 1,350점 "
유튜브 마케팅 인사이트,서양수 ,역자 없음, 2021-09-03, 280 쪽," 16,500원"," 14,850원", 825점 
웹 브라우저 속 머신러닝 TensorFlow.js,카이 사사키 , 유수연 , 2021-09-01, 312 쪽," 25,000원"," 22,500원"," 1,250점 "
